sampleID	BRCA1	BRCA2
GTEX-1117F-2826-SM-5GZXL	0.133219457	-0.430158101
GTEX-111YS-1926-SM-5GICC	0.264581729	-0.270025714
GTEX-1122O-1226-SM-5H113	0.135450699	-0.350373113
GTEX-117XS-1926-SM-5GICO	-0.16761884	-0.13200249
GTEX-117YX-1426-SM-5H12H	0.158362492	-0.512720184
GTEX-1192X-2326-SM-5987X	0.314499228	-0.366834646
GTEX-11DXW-0626-SM-5N9ER	0.197004728	-0.43794517
GTEX-11DXY-2326-SM-5GICW	0.051538391	-0.683610249
GTEX-11DXZ-1926-SM-5GZZL	0.017033339	-0.707522406
GTEX-11DZ1-0326-SM-5N9BN	0.125481266	-0.547600154
GTEX-11EI6-0626-SM-5985T	0.431363764	-0.441891698
GTEX-11EM3-1326-SM-5N9C6	0.258397804	-0.331148352
GTEX-11EMC-2026-SM-5A5JV	0.319314304	-0.433916216
GTEX-11EQ9-1826-SM-5Q5AJ	0.459995256	-0.108239599
GTEX-11GS4-2126-SM-5A5KR	0.327358934	-0.361211333
GTEX-11GSO-1926-SM-5A5K3	0.065579715	-0.233215485
GTEX-11I78-2226-SM-5PNYA	-0.0910327	-0.732593581
GTEX-11LCK-2426-SM-5HL5F	0.219322508	-0.308211476
GTEX-11NSD-0926-SM-5N9DR	0.374565061	-0.90517962
GTEX-11NV4-2026-SM-5N9DG	-0.024246611	-0.412962882
GTEX-11O72-2126-SM-5N9FO	0.291590826	-0.332453661
GTEX-11OF3-1926-SM-59889	0.110252917	-0.553929064
GTEX-11ONC-2126-SM-5HL6E	0.294025094	-0.16774663
GTEX-11P7K-0726-SM-5EGKX	0.286680969	-0.422968014
GTEX-11P81-1926-SM-5BC53	0.414137362	-0.076755981
GTEX-11P82-1326-SM-5HL62	-0.196406335	-1.309892561
GTEX-11PRG-0826-SM-5EQ6A	0.270445908	-0.276134036
GTEX-11TT1-2126-SM-5GU5Y	-0.026964559	-1.220547817
GTEX-11TUW-1826-SM-5BC5D	-0.29627884	-0.323763783
GTEX-11WQC-1726-SM-5GU4W	0.08170727	-0.513569521
GTEX-11WQK-2426-SM-5GU5C	-0.457672617	-0.647046088
GTEX-11ZTT-2326-SM-5EQLG	0.022428371	-0.55705013
GTEX-11ZUS-0826-SM-5FQUY	0.326540669	-0.694218849
GTEX-1211K-1926-SM-5EQLB	-0.023741751	-0.257510535
GTEX-1269C-2426-SM-5FQSN	0.161068386	-0.272540079
GTEX-12BJ1-1826-SM-5HL9N	0.051923916	-0.469160221
GTEX-12KS4-0126-SM-5Q5A5	0.093771782	-0.899629455
GTEX-12WSK-2226-SM-5GCO5	0.113943352	-0.375924269
GTEX-12WSM-1726-SM-5BC6J	-0.02816772	-0.832387327
GTEX-12WSN-1326-SM-5GCNT	0.271609301	-0.43628166
GTEX-12ZZX-1126-SM-5EGKB	0.343999069	-0.327532687
GTEX-13113-1726-SM-5GCOO	0.254789687	-0.41408829
GTEX-1313W-0826-SM-5EQ4T	0.192009593	-0.302857874
GTEX-1314G-1226-SM-5BC6D	0.278524965	-0.42945706
GTEX-131XW-0726-SM-5EGK3	-0.037157319	-0.234405945
GTEX-131YS-0626-SM-5EGKL	0.242541428	-0.244506272
GTEX-132AR-0826-SM-5EGK6	0.349665984	-0.592779107
GTEX-132NY-0826-SM-5K7Y7	0.13225969	-0.565111879
GTEX-133LE-1726-SM-5K7VQ	0.220631019	-0.617082865
GTEX-1399U-1826-SM-5PNZ1	0.066325925	-0.45432185
GTEX-139T6-1626-SM-5PNYZ	-0.017638298	-0.670398752
GTEX-139T8-0826-SM-5L3DE	0.535040813	-0.206000199
GTEX-139TU-0626-SM-5KM3X	0.351796307	-0.053351266
GTEX-13CF2-2026-SM-5K7VI	0.030599722	-0.386581055
GTEX-13CF3-2126-SM-5IFJP	-0.102372909	-0.512578789
GTEX-13D11-1026-SM-5IJFB	0.076276255	-0.656000931
GTEX-13FHO-0826-SM-5L3E8	0.051538391	-0.319392571
GTEX-13FTW-1426-SM-5LZWZ	0.260548373	-0.56320149
GTEX-13FTX-1126-SM-5N9EN	-0.042967684	-0.768275617
GTEX-13FTY-2226-SM-5J1ND	0.391640704	0.034227261
GTEX-13N11-1726-SM-5J1OJ	0.142389466	-0.212185433
GTEX-13N1W-0626-SM-5MR4U	-0.139063379	-0.199351645
GTEX-13NZ8-0126-SM-5IJCT	0.385427515	-0.707743929
GTEX-13NZ9-1026-SM-5MR5K	0.244771762	-0.365119859
GTEX-13NZB-2126-SM-5MR4Y	0.2219356	-0.589729036
GTEX-13O3O-0826-SM-5K7WE	-0.057347188	-0.376854125
GTEX-13O3P-0826-SM-5L3DH	0.02489596	-0.345342245
GTEX-13O3Q-2226-SM-5KM4O	0.161667412	-0.276872841
GTEX-13O61-1826-SM-5KM4I	0.202488317	-0.705093089
GTEX-13OW5-2226-SM-5L3HC	0.405175546	-0.384892013
GTEX-13OW8-0226-SM-5K7UP	0.201123897	-0.625068446
GTEX-13PL6-2926-SM-5L3I2	0.35831564	-0.416347892
GTEX-13PVQ-1026-SM-5KM3M	-0.532391894	-0.297311032
GTEX-13PVR-2226-SM-7DHKP	0.255995727	-0.2892059
GTEX-13QIC-2326-SM-5LU5N	0.33725954	-0.033013975
GTEX-13QJ3-0826-SM-7DHKK	0.669874503	0.370698093
GTEX-13SLW-2526-SM-62LDQ	-0.119815447	-0.800519085
GTEX-13SLX-2326-SM-5ZZWE	-0.028075051	-0.391580949
GTEX-13VXU-2826-SM-664MA	0.089198367	-0.484258583
GTEX-13W3W-1226-SM-5LU4H	0.344392274	-0.336016545
GTEX-13W46-0826-SM-5LU3H	0.185542155	-0.521866572
GTEX-144GL-2026-SM-5LU3O	0.332842267	-0.541060138
GTEX-144GM-0926-SM-5O994	-0.127902026	-0.327809749
GTEX-145LT-0726-SM-5S2VM	0.110252917	-0.574791949
GTEX-145ME-1526-SM-5Q5F2	-0.036495501	-0.452348342
GTEX-145MF-2226-SM-7EPIR	-0.04992737	-0.754487332
GTEX-145MN-1926-SM-5SIAI	0.339650158	-0.785951321
GTEX-145MO-0826-SM-5NQBL	-0.136142038	-0.747875448
GTEX-146FH-0826-SM-5SI8T	0.50731604	-0.164689999
GTEX-14753-2426-SM-5LU8U	-0.275970027	-0.581367313
GTEX-147F4-2826-SM-5NQBN	-0.005067263	-0.410050399
GTEX-14A5I-0726-SM-5TDEB	0.23299611	-0.394156461
GTEX-14AS3-1626-SM-5S2OY	-0.124938737	-0.870310108
GTEX-14B4R-1226-SM-5TDDT	0.180985581	-0.64244628
GTEX-14BMU-1626-SM-5TDE7	0.317645543	-0.553618188
GTEX-14BMV-0626-SM-793AU	0.067814511	-1.019860222
GTEX-14DAR-1326-SM-7DUEG	0.183554534	-0.504594437
GTEX-14E6C-1326-SM-62LEQ	-0.645315446	0.022428371
GTEX-14E6E-1326-SM-5S2NR	0.38774566	-0.49376564
GTEX-14E7W-0826-SM-62LEJ	0.087426457	-0.705313376
GTEX-14H4A-2526-SM-5YYAY	0.05804623	-0.337242168
GTEX-14ICK-2426-SM-6EU27	-0.167810539	-0.670398752
GTEX-14LLW-0626-SM-62LFC	-0.018271975	-0.52929557
GTEX-14PHY-1926-SM-5YY95	0.103803721	-0.718966633
GTEX-14PJ4-2126-SM-6ETZJ	-0.10204319	-0.471340355
GTEX-14PJO-0726-SM-69LO8	-0.127902026	-0.778585762
GTEX-14PKU-0426-SM-6EU1P	-0.051293691	-0.601886308
GTEX-14PN4-0626-SM-62LFP	-0.318306608	-0.664141089
GTEX-15DCZ-0726-SM-69LOV	0.265760917	-0.360413913
GTEX-15EOM-5019-SM-793DK	0.135768515	-0.682145511
GTEX-15ER7-1626-SM-6PAMZ	0.478999132	-0.092857469
GTEX-15ETS-0626-SM-7KUMX	0.278296208	-0.119357874
GTEX-15FZZ-0726-SM-7KUFZ	0.173768823	-0.130592251
GTEX-15G19-2126-SM-6M48J	0.203576775	-0.459170186
GTEX-15RJE-2626-SM-7KFT1	-0.335828295	-0.550213153
GTEX-15SHW-1326-SM-6PAL8	0.105850674	-0.099414413
GTEX-15UF6-0126-SM-6PAMB	0.199480915	-0.306097259
GTEX-15UF7-0726-SM-6M46D	0.257198426	-0.124649303
GTEX-16BQI-1026-SM-7KUEA	0.089198367	-0.31884925
GTEX-16NGA-0826-SM-718AF	0.286680969	-0.203911571
GTEX-16YQH-2826-SM-6PAMY	0.249931757	-0.433680379
GTEX-17EUY-1926-SM-7DUF6	0.072984745	-0.302596277
GTEX-17EVP-0226-SM-79OND	0.095518042	-0.221053272
GTEX-17EVQ-0426-SM-7LG57	0.125806458	-0.630042393
GTEX-17F96-2426-SM-7IGLN	0.237794993	-0.882066165
GTEX-17F97-2526-SM-7EWDV	0.19368103	-0.434270212
GTEX-17F98-0526-SM-79OK5	0.162862993	-0.349401102
GTEX-17GQL-0326-SM-7LG5U	0.077367905	-0.688670048
GTEX-17HG3-0126-SM-7IGNH	0.393048466	-0.297224922
GTEX-17HGU-1326-SM-79OKB	0.323458367	-0.476904162
GTEX-17HHE-1426-SM-7EPH4	0.401572846	-0.423428316
GTEX-17HHY-0926-SM-793C1	0.459844642	-0.035881857
GTEX-17JCI-0726-SM-7EPH1	0.299725154	-0.375717904
GTEX-17KNJ-2026-SM-7LG53	0.403463701	-0.44721015
GTEX-17MF6-0326-SM-7EPH5	-0.11696349	-0.285251239
GTEX-17MFQ-0926-SM-7LG4S	0.229425848	-0.443215218
GTEX-183FY-1126-SM-7DHLJ	0.224274014	-0.455435903
GTEX-183WM-0726-SM-7LTAA	0.142389466	-0.780939668
GTEX-18465-2026-SM-718AP	0.138618434	-0.305394801
GTEX-18A6Q-0926-SM-7LG4N	0.147057671	-0.634886568
GTEX-18A7A-0726-SM-7LTAI	0.325720858	-0.339324212
GTEX-18A7B-2626-SM-7LG55	0.155336038	0.053078444
GTEX-18D9A-1526-SM-7LG4J	0.094121596	-0.611898798
GTEX-18QFQ-0826-SM-718AX	0.323458367	-0.286845598
GTEX-1A3MV-1626-SM-731C1	0.200576927	-0.300943146
GTEX-1A3MX-2726-SM-718B6	-0.187688391	-0.630598586
GTEX-1A8G7-2426-SM-731AK	0.15715444	-0.658565475
GTEX-1AMEY-1026-SM-718AA	0.15044941	-0.909389292
GTEX-1AX8Z-0926-SM-731AW	0.460897843	-0.001435542
GTEX-1AX9I-0726-SM-73KWV	0.163459552	-0.277859875
GTEX-1AX9J-1126-SM-731B7	-0.005550863	-0.310336035
GTEX-1B8KE-1226-SM-73KWK	-0.008419543	-0.285000033
GTEX-1B8KZ-1526-SM-7DUG7	0.49762065	-0.248412995
GTEX-1B932-0826-SM-73KXG	0.358505912	-0.168834366
GTEX-1B933-2526-SM-7IGO5	0.023663918	-0.356547324
GTEX-1B97I-0426-SM-79OL7	0.386677284	-0.260190401
GTEX-1B97J-0426-SM-79OLQ	0.08350262	-0.301986496
GTEX-1BAJH-0826-SM-7EWEF	0.14113609	-0.461677667
GTEX-1C64O-0726-SM-7DUFU	0.438384107	-0.288867928
GTEX-1C6VQ-0426-SM-79OOX	0.526210004	-0.017909761
GTEX-1C6VS-0726-SM-7EPHF	-0.050171041	-0.39870069
GTEX-1CAMR-1426-SM-793BO	-0.153415497	-0.760450279
GTEX-1CAMS-1426-SM-7IGPM	0.249687428	-0.315064917
GTEX-1CB4E-0226-SM-79OLW	0.403806611	-0.529883647
GTEX-1CB4G-2326-SM-79OOI	0.113609151	-0.355758414
GTEX-1CB4J-1826-SM-7EWF9	-0.185752404	-0.517412231
GTEX-1E2YA-2726-SM-7IGPW	-0.098105968	-0.346787486
GTEX-1EKGG-2626-SM-7IGPY	0.014520539	-0.686765708
GTEX-1EU9M-2826-SM-7EWFH	0.072249898	-0.645507399
GTEX-PSDG-1626-SM-48TCQ	-0.007225636	-1.251734427
GTEX-Q2AG-0326-SM-48U1O	0.298197867	-0.224899501
GTEX-QDT8-0626-SM-48TYW	0.282395505	-0.19859629
GTEX-QEG5-0726-SM-4R1JQ	0.284205068	-0.3650192
GTEX-QEL4-2126-SM-447AE	0.435207103	-0.460798401
GTEX-QMRM-1626-SM-4R1KV	0.083144143	-0.356843534
GTEX-QVJO-1826-SM-447C9	0.028977705	-0.876801925
GTEX-R3RS-0626-SM-48FE1	0.357744325	-0.184355851
GTEX-R53T-1526-SM-48FEK	0.308991029	-0.723768042
GTEX-R55D-0826-SM-48FEA	0.056523724	-0.85917782
GTEX-REY6-2426-SM-48FF5	-0.373556975	-0.745451923
GTEX-RU1J-0626-SM-4WAWY	0.220892249	-0.258690791
GTEX-RU72-0626-SM-46MUI	0.22685757	-0.412513535
GTEX-RUSQ-2026-SM-4GIAK	0.108903128	-0.71354353
GTEX-RWS6-1926-SM-47JXY	0.365113432	-0.356547324
GTEX-S32W-2026-SM-4AD6E	0.09482038	-0.574139855
GTEX-S33H-0326-SM-4AD6N	0.368472838	-0.586700236
GTEX-S341-1526-SM-4AD6K	0.229681842	-0.189633046
GTEX-S4P3-1326-SM-4AD6V	0.322219295	-0.354381262
GTEX-S4Q7-1126-SM-4AD6R	0.014100322	-0.546834608
GTEX-S4UY-0726-SM-4AD6X	0.310480892	-0.357238797
GTEX-S7SE-0826-SM-4AT4D	0.292256071	-0.554084586
GTEX-SE5C-2126-SM-4BRUJ	0.216165902	-0.54408976
GTEX-T2IS-1526-SM-32QPR	0.344981414	-0.349886836
GTEX-T2YK-2226-SM-32QPT	0.379486814	-0.39501837
GTEX-T5JC-2126-SM-32PMO	0.175511813	-0.23694656
GTEX-T5JW-2026-SM-4DM63	0.499412126	0.277379975
GTEX-T6MN-0726-SM-32PML	0.5289167	0.069298012
