Stage	GeneSymbol	SampleID	Expression	Log10(Expression)
0 min	EGT2	0min_1	1207.38	3.081843978
0 min	EGT2	0min_2	1209.97	3.082774603
0 min	EGT2	0min_3	1089.77	3.037334848
10 min	EGT2	10min_1	801.201	2.903741483
10 min	EGT2	10min_2	704.513	2.847889011
10 min	EGT2	10min_3	597.385	2.776254314
20 min	EGT2	20min_1	927.885	2.967494154
20 min	EGT2	20min_2	600.551	2.778549895
20 min	EGT2	20min_3	577.22	2.761341371
30 min	EGT2	30min_1	772.444	2.887867004
30 min	EGT2	30min_2	807.473	2.90712801
30 min	EGT2	30min_3	468.778	2.670967222
45 min	EGT2	45min_1	746.76	2.873181047
45 min	EGT2	45min_2	745.632	2.872524538
45 min	EGT2	45min_3	872.54	2.940785346
60 min	EGT2	60min_1	601.214	2.779029085
60 min	EGT2	60min_2	597.055	2.77601434
60 min	EGT2	60min_3	1051.25	3.021706009
90 min	EGT2	90min_1	638.011	2.804828167
90 min	EGT2	90min_2	766.419	2.884466263
90 min	EGT2	90min_3	778.181	2.891080623
120 min	EGT2	120min_1	635.816	2.803331453
120 min	EGT2	120min_2	495.708	2.695225928
120 min	EGT2	120min_3	537.154	2.730098814
