Gene	Stage1	Stage2	Stage3	Stage4	Stage5	Stage6	Group
Gene01	1.1558639	0.90212315	-1.0857941	-1.265632	0.26144987	0.031989165	group1
Gene02	1.145877	0.89730084	-1.0957847	-1.2667897	0.27219218	0.047204368	group1
Gene03	1.1255603	0.899457	-1.124195	-1.2558488	0.27776027	0.077266224	group1
Gene04	1.114566	0.86816096	-1.1150655	-1.283721	0.322432	0.09362759	group1
Gene05	1.1291782	0.870093	-1.0975112	-1.2881863	0.31420353	0.07222275	group1
Gene06	1.1388767	0.8809866	-1.0929922	-1.2810364	0.29628807	0.057877325	group1
Gene07	1.191753	0.9285829	-1.0542614	-1.249732	0.2086542	-0.024996769	group1
Gene08	1.1806597	0.9280558	-1.0697328	-1.2466362	0.2151041	-0.007450586	group1
Gene09	1.2273775	0.9733727	-1.0302756	-1.2087522	0.12592815	-0.08765069	group1
Gene10	1.2328818	0.96197283	-1.0147889	-1.2233069	0.13866647	-0.09542536	group1
Gene11	1.2241967	0.95407814	-1.0231501	-1.230353	0.15517916	-0.07995081	group1
Gene12	1.2537619	1.0335153	-1.0202203	-1.1391112	0.017631691	-0.14557743	group1
Gene13	1.2325802	1.0274218	-1.0512081	-1.1431831	0.04166525	-0.107276104	group1
Gene14	1.2375193	0.990779	-1.0246512	-1.1901915	0.09413544	-0.10759107	group1
Gene15	1.242492	0.99186945	-1.0174248	-1.18986	0.08922911	-0.11630573	group1
Gene16	1.2467198	0.98739254	-1.008182	-1.1960732	0.09295517	-0.12281235	group1
Gene17	1.2507486	0.9966386	-1.0068512	-1.1855136	0.07649299	-0.13151532	group1
Gene18	1.27386	1.0101637	-0.975619	-1.1715968	0.038881417	-0.17568931	group1
Gene19	1.2762201	1.0150396	-0.9739954	-1.1655872	0.02950347	-0.1811805	group1
Gene20	1.2747655	1.0134419	-0.97570455	-1.167512	0.033129636	-0.17812052	group1
Gene21	1.2540662	1.0164458	-1.0117351	-1.1612668	0.04412441	-0.14163464	group1
Gene22	1.2533035	1.0130002	-1.0112665	-1.1655259	0.04996494	-0.13947627	group1
Gene23	1.2557976	1.0119624	-1.0066793	-1.1672165	0.0497671	-0.14363135	group1
Gene24	1.2632761	1.0012393	-0.98881966	-1.1816627	0.060551103	-0.15458415	group1
Gene25	1.262333	1.0060157	-0.99288523	-1.1755925	0.054039877	-0.15391073	group1
Gene26	1.3524725	1.1014694	-0.8478767	-1.0277156	-0.20186827	-0.37648132	group1
Gene27	1.3519166	1.0958169	-0.8491324	-1.0376085	-0.1896844	-0.37130812	group1
Gene28	1.3565391	1.1107237	-0.83744353	-1.0091319	-0.22724955	-0.39343774	group1
Gene29	1.3527977	1.1192846	-0.8457214	-0.9958558	-0.23975988	-0.39074525	group1
Gene30	1.3286382	1.1085787	-0.9022426	-1.0256996	-0.18395513	-0.32531953	group1
Gene31	1.3356465	1.0992209	-0.8864204	-1.0388664	-0.17435041	-0.33523017	group1
Gene32	1.3375807	1.1026616	-0.88232714	-1.0324415	-0.18362409	-0.34184954	group1
Gene33	1.337873	1.087604	-0.880358	-1.0569141	-0.1548181	-0.33338687	group1
Gene34	1.3402543	1.080229	-0.87406147	-1.067747	-0.1439654	-0.3347094	group1
Gene35	1.3229305	1.0991927	-0.91369456	-1.0427911	-0.15875772	-0.30687982	group1
Gene36	1.3262167	1.0913508	-0.9058333	-1.0544802	-0.14769623	-0.30955788	group1
Gene37	1.3287796	1.0823139	-0.8989982	-1.0679678	-0.13384755	-0.31027997	group1
Gene38	1.2876472	1.0172528	-0.95514715	-1.1633382	0.016620222	-0.20303497	group1
Gene39	1.288957	1.0261239	-0.9569285	-1.1518373	0.001568907	-0.20788394	group1
Gene40	1.2858834	1.0352743	-0.9663731	-1.1396538	-0.010399091	-0.20473166	group1
Gene41	1.27965	1.0275178	-0.9739251	-1.1496612	0.007206505	-0.19078796	group1
Gene42	1.2934072	1.0587308	-0.96176696	-1.1074684	-0.055753473	-0.22714923	group1
Gene43	1.295863	1.0433735	-0.95170885	-1.1287367	-0.032369196	-0.22642179	group1
Gene44	1.2981771	1.0415395	-0.9467531	-1.1311744	-0.031476535	-0.23031265	group1
Gene45	1.2967027	1.0415668	-0.9494673	-1.1311798	-0.03017052	-0.22745202	group1
Gene46	1.3155334	1.0664828	-0.92221206	-1.0944723	-0.090719946	-0.27461186	group1
Gene47	1.318197	1.0580128	-0.9144705	-1.1063474	-0.0788198	-0.27657205	group1
Gene48	1.3185833	1.0534971	-0.91227293	-1.1127388	-0.0714945	-0.27557403	group1
Gene49	1.3109927	1.0498627	-0.9257961	-1.1188234	-0.057571147	-0.25866494	group1
Gene50	1.3103455	1.0562292	-0.92919356	-1.1099143	-0.067695275	-0.25977167	group1
Gene51	1.3119798	1.0842749	-0.9335484	-1.0684204	-0.11874828	-0.27553764	group1
Gene52	1.3212101	1.0719264	-0.9123288	-1.0854647	-0.10642411	-0.28891888	group1
Gene53	1.3295224	1.0705659	-0.8949914	-1.085693	-0.11334333	-0.3060607	group1
Gene54	1.3291808	1.0734781	-0.89636993	-1.0813893	-0.11818697	-0.30671275	group1
Gene55	1.3278372	1.0735008	-0.89916223	-1.081681	-0.116679	-0.30381572	group1
Gene56	1.3706163	1.1512703	-0.78273886	-0.9137642	-0.35058898	-0.4747946	group1
Gene57	1.3728306	1.1555297	-0.7718225	-0.90033656	-0.36797085	-0.48823038	group1
Gene58	1.3750315	1.1513696	-0.7679741	-0.90755373	-0.36138222	-0.48949105	group1
Gene59	1.3774424	1.1541375	-0.75697017	-0.8969134	-0.37565693	-0.50203943	group1
Gene60	1.3730432	1.159225	-0.7675479	-0.8905661	-0.37945977	-0.49469435	group1
Gene61	1.3905506	1.1433021	-0.7187195	-0.90246207	-0.37968758	-0.5329835	group1
Gene62	1.3866675	1.1389502	-0.73770857	-0.9205403	-0.35566875	-0.5117001	group1
Gene63	1.3888803	1.1414757	-0.7271502	-0.9103931	-0.3691905	-0.52362216	group1
Gene64	1.3856777	1.1439396	-0.7368183	-0.90963733	-0.36751768	-0.5156441	group1
Gene65	1.385815	1.1449251	-0.73534536	-0.9068653	-0.37083718	-0.5176924	group1
Gene66	1.3750055	1.1215115	-0.7853974	-0.97402465	-0.28385904	-0.45323592	group1
Gene67	1.3752747	1.1220384	-0.7844185	-0.9726854	-0.2856487	-0.45456037	group1
Gene68	1.3764166	1.1178433	-0.7825231	-0.98000294	-0.278008	-0.45372584	group1
Gene69	1.3756268	1.1189271	-0.78447	-0.97861445	-0.27898875	-0.45248073	group1
Gene70	1.3734902	1.1224858	-0.7894681	-0.97354805	-0.28317425	-0.4497856	group1
Gene71	1.3719162	1.1236174	-0.7936201	-0.9727802	-0.28278044	-0.44635278	group1
Gene72	1.371931	1.1232245	-0.7937132	-0.97355837	-0.28188065	-0.4460033	group1
Gene73	1.3692007	1.1277093	-0.799943	-0.9670521	-0.2872565	-0.44265836	group1
Gene74	1.3715256	1.127525	-0.79330665	-0.96519613	-0.2913432	-0.44920468	group1
Gene75	1.3798859	1.1212083	-0.77094203	-0.96951985	-0.29312256	-0.4675099	group1
Gene76	1.379112	1.1237371	-0.7722374	-0.9651078	-0.2976538	-0.46785003	group1
Gene77	1.3728907	1.1350849	-0.7858347	-0.9478218	-0.3127754	-0.4615437	group1
Gene78	1.3721192	1.1350622	-0.7881852	-0.9487125	-0.31110397	-0.45917964	group1
Gene79	1.3783584	1.1391685	-0.76616365	-0.9321278	-0.33552042	-0.48371512	group1
Gene80	1.377474	1.1366458	-0.77065164	-0.9390092	-0.32678947	-0.4776695	group1
Gene81	1.3787603	1.1355962	-0.7671562	-0.9397592	-0.32695928	-0.4804819	group1
Gene82	1.3796502	1.1309658	-0.76700413	-0.94896436	-0.3169488	-0.47769877	group1
Gene83	1.3806374	1.1286193	-0.7651352	-0.9528968	-0.3131609	-0.47806376	group1
Gene84	1.3555127	1.1511027	-0.82837176	-0.93039227	-0.31880146	-0.42905	group1
Gene85	1.3625009	1.1200306	-0.8206252	-0.9878234	-0.2573306	-0.41675237	group1
Gene86	1.3705587	1.1170895	-0.79943544	-0.98693305	-0.26505685	-0.436223	group1
Gene87	1.3522221	1.1413535	-0.84165716	-0.95359004	-0.2889326	-0.4093958	group1
Gene88	1.3590076	1.1322923	-0.82663816	-0.966606	-0.27933663	-0.41871914	group1
Gene89	1.3883876	1.1790353	-0.6518312	-0.77859014	-0.51959914	-0.61740243	group1
Gene90	1.3928574	1.1765426	-0.6210206	-0.7626732	-0.5408493	-0.6448569	group1
Gene91	1.3959318	1.1733255	-0.6055638	-0.7593798	-0.5467938	-0.65752	group1
Gene92	1.4035819	1.1629708	-0.5824094	-0.76877534	-0.54180187	-0.6735661	group1
Gene93	1.4035746	1.1631848	-0.57998985	-0.7662525	-0.5446167	-0.6759002	group1
Gene94	1.4063768	1.1570114	-0.5917782	-0.7917374	-0.5180703	-0.6618025	group1
Gene95	1.4020771	1.1640291	-0.59678066	-0.77730465	-0.5311657	-0.6608551	group1
Gene96	1.4013305	1.1640928	-0.60603005	-0.7842043	-0.5228745	-0.65231454	group1
Gene97	1.4046638	1.1582904	-0.6039402	-0.7975977	-0.51023394	-0.65118235	group1
Gene98	1.4047047	1.1576492	-0.60706395	-0.8015294	-0.505833	-0.64792746	group1
Gene99	1.4034531	1.1590908	-0.61217594	-0.8015977	-0.50483906	-0.6439311	group1
Gene100	1.4029721	1.1601098	-0.61168283	-0.79864955	-0.50781125	-0.6449383	group1
Gene101	1.3992548	1.164645	-0.6246825	-0.7964834	-0.50751543	-0.6352184	group1
Gene102	1.3990605	1.1652502	-0.6234916	-0.79408216	-0.5100815	-0.63665545	group1
Gene103	1.3988826	1.166234	-0.62001836	-0.78903604	-0.5156399	-0.64042217	group1
Gene104	1.3997023	1.164812	-0.6195057	-0.79232264	-0.5125399	-0.64014596	group1
Gene105	1.3949213	1.1494454	-0.69172484	-0.87500036	-0.4147613	-0.56288016	group1
Gene106	1.3966352	1.1502383	-0.68211085	-0.86785716	-0.42428952	-0.572616	group1
Gene107	1.3926567	1.15701	-0.6895411	-0.8565108	-0.43421966	-0.5693951	group1
Gene108	1.3869228	1.1578393	-0.7149624	-0.86847585	-0.41601017	-0.5453138	group1
Gene109	1.3864952	1.163258	-0.7079192	-0.85228103	-0.4342715	-0.5552815	group1
Gene110	1.387478	1.1707432	-0.68673533	-0.8222663	-0.46935174	-0.5798679	group1
Gene111	1.3924468	1.1668079	-0.66778475	-0.8201288	-0.4755976	-0.5957436	group1
Gene112	1.3947318	1.1653923	-0.6571916	-0.8168064	-0.48111162	-0.60501444	group1
Gene113	1.3965833	1.1644598	-0.6473184	-0.8126039	-0.48728004	-0.6138407	group1
