SampleID	Gender	Stage	GeneSymbol	TPM
GSM1328533	Female	2 weeks	Egfr	1.296193352
GSM1328534	Female	2 weeks	Egfr	1.337968136
GSM1328535	Female	2 weeks	Egfr	1.352709143
GSM1328536	Female	2 weeks	Egfr	1.293170229
GSM1328537	Female	6 weeks	Egfr	1.059718631
GSM1328538	Female	6 weeks	Egfr	1.18465169
GSM1328539	Female	6 weeks	Egfr	1.160657575
GSM1328540	Female	6 weeks	Egfr	1.11605955
GSM1328541	Female	21 weeks	Egfr	1.053170673
GSM1328542	Female	21 weeks	Egfr	1.077357002
GSM1328543	Female	21 weeks	Egfr	1.093193971
GSM1328544	Female	21 weeks	Egfr	1.120455471
GSM1328545	Female	104 weeks	Egfr	0.947887386
GSM1328546	Female	104 weeks	Egfr	0.94429707
GSM1328547	Female	104 weeks	Egfr	0.980704952
GSM1328548	Female	104 weeks	Egfr	0.993949145
GSM1328549	Male	2 weeks	Egfr	1.364528483
GSM1328550	Male	2 weeks	Egfr	1.410502234
GSM1328551	Male	2 weeks	Egfr	1.417787127
GSM1328552	Male	2 weeks	Egfr	1.363920201
GSM1328553	Male	6 weeks	Egfr	1.204309945
GSM1328554	Male	6 weeks	Egfr	1.201768438
GSM1328555	Male	6 weeks	Egfr	1.138744664
GSM1328556	Male	6 weeks	Egfr	1.163724757
GSM1328557	Male	21 weeks	Egfr	1.026410681
GSM1328558	Male	21 weeks	Egfr	1.142542756
GSM1328559	Male	21 weeks	Egfr	1.128938571
GSM1328560	Male	21 weeks	Egfr	1.083753378
GSM1328561	Male	104 weeks	Egfr	0.987005385
GSM1328562	Male	104 weeks	Egfr	1.153259832
GSM1328563	Male	104 weeks	Egfr	1.118413545
GSM1328564	Male	104 weeks	Egfr	1.062954077
