BRCA1	sample_type
4.53	Tumor
6.28	Tumor
6.38	Tumor
6.45	Tumor
6.67	Tumor
6.84	Tumor
6.87	Tumor
7.35	Tumor
7.36	Tumor
7.38	Tumor
7.4	Tumor
7.42	Tumor
7.51	Tumor
7.53	Tumor
7.56	Tumor
7.57	Tumor
7.59	Tumor
7.59	Tumor
7.59	Tumor
7.63	Tumor
7.67	Tumor
7.67	Tumor
7.74	Tumor
7.74	Tumor
7.79	Tumor
7.87	Tumor
7.92	Tumor
7.93	Tumor
7.96	Tumor
8.04	Tumor
8.08	Tumor
8.08	Tumor
8.16	Tumor
8.18	Tumor
8.19	Tumor
8.2	Tumor
8.2	Tumor
8.25	Tumor
8.26	Tumor
8.26	Tumor
8.3	Tumor
8.31	Tumor
8.31	Tumor
8.34	Tumor
8.35	Tumor
8.35	Tumor
8.38	Tumor
8.39	Tumor
8.41	Tumor
8.41	Tumor
6.06	Normal
6.32	Normal
6.52	Normal
6.6	Normal
6.64	Normal
6.66	Normal
6.72	Normal
6.89	Normal
6.93	Normal
6.94	Normal
7	Normal
7	Normal
7.04	Normal
7.04	Normal
7.09	Normal
7.14	Normal
7.15	Normal
7.16	Normal
7.18	Normal
7.18	Normal
7.19	Normal
7.21	Normal
7.31	Normal
7.32	Normal
7.33	Normal
7.34	Normal
7.34	Normal
7.34	Normal
7.36	Normal
7.38	Normal
7.4	Normal
7.43	Normal
7.43	Normal
7.45	Normal
7.47	Normal
7.48	Normal
7.49	Normal
7.5	Normal
7.5	Normal
7.5	Normal
7.5	Normal
7.5	Normal
7.5	Normal
7.53	Normal
7.53	Normal
7.54	Normal
7.54	Normal
7.58	Normal
7.59	Normal
7.59	Normal
