Set1	Set2	Set3	Set4	Set5
ZMIZ1	ADCY5	TNS1	TNS1	TNS1
TNS1	ACTN4	ZMIZ1	ZMIZ1	ZMIZ1
CASZ1	SORBS1	RXRA	RXRA	TSPAN9
NFIC	TNS1	AHDC1	NCOR2	MIDN
CACNA1C	ZMIZ1	ACTN4	MIDN	NCOR2
AHDC1	RBM20	MIDN	AHDC1	AHDC1
RXRA	TSPAN9	MIR3619	ZBTB16	ACTN4
TSPAN9	SYNPO	FAM53B	MALAT1	HSPG2
GRAMD4	AHDC1	NFIX	FAM53B	MYH9
CAMK2B	CASZ1	MALAT1	DUSP1	MALAT1
ACTN4	NFIC	KLF13	ACTN4	NFIC
PPARGC1B	RGS3	ZBTB16	LDB3	GRAMD4
ABR	FHOD3	CRIP2	MIR4316	RGS3
RGS3	PPARGC1B	ITPK1-AS1	CUEDC1	ADCY5
FAM78A	NNMT	MYH9	NFIX	NR1D1
TACC2	SORBS2	FAM101A	CRIP2	RXRA
PTP4A3	FAM53B	SYNPO	MYH9	PPARGC1B
SYNPO	MIR648	TEF	RGS3	ZBTB16
RBM20	COL4A2	DUSP1	PTP4A3	SYNPO
LRRFIP1	FAM78A	MIR4316	PER1	CASZ1
PYGB	MYH9	CUEDC1	PLXND1	MIR661
SLC12A7	PRKAG2	LDB3	ISYNA1	ABR
CIRBP	LRRFIP1	GNAI2	ADCY5	FAM53B
FAM53B	GRAMD4	RGS3	KLF13	ERGIC1
ABLIM1	MALAT1	TSPAN9	NEAT1	MEF2D
HSPG2	GATA4	MKNK2	HSPG2	MIR4316
MIR648	CUEDC1	ABTB1	PPAPDC3	SPEG
MYH9	RAMP1	PTP4A3	GATA4	CXXC5
CXXC5	PTP4A3	CXXC5	TSPAN9	GNAI2
SORBS2	ABLIM1	CASZ1	NR1D1	GATA4
