GeneID	LOG_count	WT0_count	LOG_rpkm	WT0_rpkm	log2_Ratio(WT0/LOG)	Pvalue	FDR	significant
Unigene0000003	17243	17525	931.5677	942.4515	0.016757759	0.514948488	0.67330422	no
Unigene0000004	65	101	4.1156	6.3657	0.629216396	0.0066439	0.017882537	no
Unigene0000005	909	984	36.8859	39.7458	0.107732979	0.125972956	0.224650049	no
Unigene0000006	1376	1082	74.7026	58.4714	-0.353427322	1.17E-08	6.86E-08	no
Unigene0000007	121	73	15.68	9.4163	-0.735693369	0.000741929	0.002446086	no
Unigene0000008	221	308	13.1401	18.2287	0.472235423	0.000303782	0.00107215	no
Unigene0000009	159	95	9.6921	5.7643	-0.749663868	7.89E-05	0.000305459	no
Unigene0000010	76	25	6.8477	2.2422	-1.610704529	3.97E-07	2.05E-06	yes
Unigene0000011	120	156	7.2042	9.3224	0.371863183	0.036209354	0.078744233	no
Unigene0000012	104	138	5.3683	7.0905	0.401422069	0.034756889	0.076310438	no
Unigene0000014	160	187	8.7547	10.1851	0.218330498	0.166323409	0.28450401	no
Unigene0000015	85	197	7.3834	17.0334	1.206009212	2.87E-11	2.06E-10	yes
Unigene0000017	111	220	9.1284	18.0091	0.980292169	2.83E-09	1.75E-08	no
Unigene0000018	93	134	10.0391	14.3984	0.520278565	0.008146536	0.021339824	no
Unigene0000019	25	27	4.5124	4.851	0.104387219	0.890026841	1	no
Unigene0000020	79	169	9.3842	19.9828	1.090453082	1.36E-08	7.93E-08	yes
Unigene0000021	47	50	3.6646	3.8806	0.082623999	0.839598175	0.958089952	no
Unigene0000022	191	76	5.5045	2.1802	-1.336151037	1.89E-12	1.45E-11	yes
Unigene0000024	190	0	9.2009	0.001	-13.16755927	3.10E-57	8.23E-56	yes
Unigene0000025	47	34	2.9424	2.1188	-0.473745971	0.182961186	0.30593292	no
Unigene0000026	18	26	1.8428	2.6497	0.523929523	0.291747242	0.441574062	no
Unigene0000027	17	13	2.203	1.6769	-0.393672837	0.584948842	0.74208004	no
Unigene0000028	100	113	7.4521	8.3822	0.169681911	0.413487157	0.583367052	no
Unigene0000029	154	179	8.1073	9.3801	0.210381774	0.192024432	0.318031581	no
Unigene0000030	26	41	2.722	4.2727	0.650480957	0.086962949	0.166961869	no
Unigene0000031	56	50	4.4859	3.9868	-0.170166227	0.628342388	0.781563131	no
Unigene0000032	92	55	9.7792	5.8194	-0.748846034	0.002960029	0.008629048	no
Unigene0000033	14	39	0.9288	2.5754	1.471356646	0.000814887	0.002668198	yes
Unigene0000034	78	198	3.91	9.8798	1.33731323	4.77E-13	3.80E-12	yes
Unigene0000035	184	557	9.5331	28.7258	1.591329737	1.70E-42	3.48E-41	yes
Unigene0000036	57	61	3.3043	3.5199	0.091189767	0.783180223	0.914827623	no
Unigene0000038	38	23	3.6111	2.1756	-0.731025042	0.072610567	0.142881217	no
Unigene0000039	60	2476	2.5004	102.7096	5.360268315	0	0	yes
Unigene0000040	0	12	0.001	2.2283	11.12172776	0.000489894	0.001664918	yes
Unigene0000041	314	338	23.6532	25.3441	0.099614557	0.418343297	0.589029649	no
Unigene0000042	376	413	17.3611	18.9819	0.128766047	0.235111053	0.375274231	no
Unigene0000043	9	11	1.5783	1.9202	0.282885128	0.823890983	0.945240252	no
Unigene0000044	1	1	0.2051	0.2042	-0.006344626	1	1	no
Unigene0000045	353	546	24.999	38.4892	0.622583299	4.88E-10	3.19E-09	no
Unigene0000046	4118	4921	291.26	346.4553	0.250361643	8.37E-12	6.19E-11	no
Unigene0000047	94	106	5.9316	6.658	0.166667558	0.439035436	0.611696667	no
Unigene0000048	2	51	0.2106	5.3451	4.665639598	3.37E-13	2.72E-12	yes
Unigene0000049	6	585	0.3799	36.8704	6.600699546	9.38E-161	6.69E-159	yes
Unigene0000050	166	194	9.5236	11.0788	0.218222692	0.158326498	0.272623509	no
Unigene0000051	44	22	4.9316	2.4545	-1.006626621	0.009324907	0.024131101	yes
Unigene0000052	3	7	0.692	1.6073	1.215795288	0.343873016	0.504449375	no
Unigene0000053	82	158	4.8755	9.3511	0.939585904	1.22E-06	5.97E-06	no
Unigene0000054	15	23	0.8322	1.2702	0.610053482	0.256327805	0.399358904	no
Unigene0000055	24	26	1.3727	1.4802	0.108775759	0.887864912	0.998816136	no
Unigene0000056	5892	7339	128.4516	159.2623	0.310179937	1.01E-21	1.19E-20	no
Unigene0000057	239	241	13.0774	13.1262	0.005373582	1	1	no
Unigene0000058	129	209	5.7234	9.2302	0.68948947	1.87E-05	7.88E-05	no
Unigene0000059	27	16	2.1849	1.2888	-0.761538852	0.126696326	0.22574468	no
Unigene0000060	32	24	2.3469	1.7521	-0.421671253	0.350357864	0.512090672	no
Unigene0000061	154	139	8.9459	8.0375	-0.154479799	0.416860151	0.587554155	no
Unigene0000062	377	495	11.3166	14.7904	0.386220495	0.00013477	0.000503374	no
Unigene0000063	4030	3833	88.1693	83.4739	-0.078951229	0.040760757	0.087217817	no
Unigene0000064	13	7	3.1837	1.7064	-0.899748526	0.263416131	0.408257984	no
Unigene0000065	11	12	2.5912	2.8138	0.118899415	1	1	no
Unigene0000066	312	454	23.7927	34.4623	0.534499991	7.72E-07	3.85E-06	no
Unigene0000067	8	2	1.4534	0.3617	-2.006566308	0.109462886	0.202417413	no
Unigene0000068	125	90	20.3189	14.5624	-0.480574159	0.020866326	0.049120851	no
Unigene0000069	65	18	4.4777	1.2343	-1.859064785	2.22E-07	1.17E-06	yes
Unigene0000070	9	10	1.5208	1.682	0.145347268	1	1	no
Unigene0000071	59	492	3.7104	30.7985	3.053213458	7.88E-84	3.00E-82	yes
Unigene0000072	17	375	1.7865	39.2276	4.456661253	2.16E-87	8.43E-86	yes
Unigene0000073	478	2289	43.778	208.6765	2.25299019	4.97E-249	5.95E-247	yes
Unigene0000074	187	201	11.0009	11.7701	0.09750502	0.513381901	0.671457701	no
Unigene0000075	649	593	91.5726	83.2865	-0.136833319	0.116516232	0.213314333	no
Unigene0000076	24	613	2.9715	75.5493	4.668155102	6.25E-145	4.05E-143	yes
Unigene0000077	316	815	27.11	69.5984	1.360229027	3.48E-48	7.97E-47	yes
Unigene0000078	0	53	0.001	7.7795	12.92546172	2.38E-16	2.24E-15	yes
Unigene0000079	663	530	22.7518	18.1041	-0.329664229	0.000161476	0.000595511	no
Unigene0000080	14	497	1.1992	42.3768	5.143130456	1.35E-124	7.54E-123	yes
Unigene0000081	4	113	0.5852	16.4555	4.813496284	1.24E-28	1.80E-27	yes
Unigene0000083	143	469	3.7027	12.0881	1.706937931	4.03E-40	7.75E-39	yes
Unigene0000084	1904	1769	29.2318	27.0343	-0.112747667	0.030683389	0.068869195	no
Unigene0000085	1316	1652	44.6369	55.776	0.321407638	1.72E-08	9.95E-08	no
Unigene0000086	22	10	2.7671	1.252	-1.14414022	0.050284266	0.104722554	no
Unigene0000087	853	933	23.8894	26.0098	0.122684686	0.089025427	0.170295329	no
Unigene0000088	49	67	5.4156	7.3709	0.444719601	0.115130875	0.211521988	no
Unigene0000089	181	291	6.8311	10.9322	0.678393942	7.80E-07	3.88E-06	no
Unigene0000090	304	514	7.4978	12.619	0.75105834	9.78E-13	7.65E-12	no
Unigene0000091	1178	1789	27.8554	42.1089	0.596168156	1.57E-25	2.09E-24	no
