id	R0_count	R3_count	R0_fpkm	R3_fpkm	log2FC	Pvalue	FDR	significant
OS01T0100100-01	234	199	2.9	2.66	-0.124626655	0.365789357	0.524535856	no
OS01T0100200-01	21	31	0.8	1.28	0.678071905	0.126839251	0.222003795	no
OS01T0100300-00	1	0	0.06	0.001	-5.906890596	1	1	no
OS01T0100400-01	56	123	0.98	2.31	1.237039197	3.93E-08	2.25E-07	up
OS01T0100466-00	0	2	0.001	0.09	6.491853096	0.500024999	0.653216704	no
OS01T0100500-01	323	412	5.46	7.5	0.457989644	3.60E-05	0.00014463	no
OS01T0100600-01	95	83	1.85	1.75	-0.080170349	0.709182153	0.849088714	no
OS01T0100700-01	1725	1569	88.44	87.34	-0.018056494	0.55543908	0.709069067	no
OS01T0100800-01	138	144	3.62	4.08	0.172579455	0.375107583	0.533126894	no
OS01T0100900-01	970	1264	19.98	28.09	0.491500041	5.03E-14	4.49E-13	no
OS01T0101150-00	3	10	0.05	0.16	1.678071905	0.09238989	0.172769786	no
OS01T0101200-01	630	1274	22.09	48.34	1.129824054	1.08E-55	3.48E-54	up
OS01T0101200-02	581	1115	6.75	13.95	1.047305715	2.84E-44	7.26E-43	up
OS01T0101300-01	122	52	2.47	1.14	-1.115477217	1.32E-06	6.40E-06	down
OS01T0101600-01	703	596	5.86	5.35	-0.131361773	0.106378872	0.194895069	no
OS01T0101600-02	711	578	6.84	5.98	-0.193850841	0.020105104	0.046654188	no
OS01T0101600-03	243	167	5.38	3.99	-0.431217426	0.003263959	0.00928875	no
OS01T0101700-00	40	47	2.14	2.73	0.351290155	0.284653957	0.428870792	no
OS01T0101800-01	12	9	0.19	0.16	-0.247927513	0.663791876	0.809893368	no
OS01T0102000-01	113	72	2.6	1.79	-0.538552036	0.015217066	0.036611892	no
OS01T0102300-01	429	888	19.99	44.87	1.166472712	3.41E-42	8.28E-41	up
OS01T0102400-01	0	3	0.001	0.09	6.491853096	0.250037498	0.384983395	no
OS01T0102500-01	198	93	4.35	2.2	-0.983511877	3.04E-08	1.76E-07	no
OS01T0102600-01	845	1136	32.4	47.17	0.541875788	7.92E-15	7.46E-14	no
OS01T0102600-02	52	119	9.28	23.66	1.350253363	3.16E-08	1.82E-07	up
OS01T0102700-01	488	388	24.12	20.82	-0.212259839	0.026468966	0.059411304	no
OS01T0102800-01	123	172	1.49	2.25	0.594612671	0.000638267	0.002089767	no
OS01T0102850-00	5	2	0.34	0.15	-1.180572246	0.453207015	0.617978769	no
OS01T0102900-01	31892	26908	2692.71	2483.24	-0.116835161	2.28E-09	1.47E-08	no
OS01T0103000-01	102	108	4.46	5.12	0.1991001	0.37221269	0.532330479	no
OS01T0103075-00	13	14	0.32	0.37	0.209453366	1	1	no
OS01T0103100-01	93	137	1.83	2.91	0.669175505	0.000637159	0.00208657	no
OS01T0103100-02	95	130	1.89	2.79	0.561878888	0.005244955	0.014223153	no
OS01T0103400-01	29	49	2.53	4.67	0.884285165	0.012988513	0.031723168	no
OS01T0103600-01	202	213	2.17	2.47	0.186815999	0.225017943	0.359109527	no
OS01T0103600-02	268	187	12.74	9.64	-0.402260226	0.002901228	0.008350671	no
OS01T0103650-00	0	1	0.001	0.05	5.64385619	1	1	no
OS01T0103700-01	29	60	0.3	0.66	1.137503524	0.00045085	0.00151698	up
OS01T0103800-01	601	539	10.58	10.24	-0.047123912	0.564350945	0.71858576	no
OS01T0103900-01	8	13	0.14	0.24	0.777607579	0.383562455	0.54259078	no
OS01T0104000-01	355	315	6.52	6.24	-0.063325935	0.568691325	0.723296797	no
OS01T0104000-02	332	278	6.18	5.58	-0.147341716	0.201418782	0.328589806	no
OS01T0104100-01	445	306	10.67	7.92	-0.429987841	6.55E-05	0.000253534	no
OS01T0104100-02	443	297	11.01	7.97	-0.46616284	1.89E-05	7.90E-05	no
OS01T0104200-00	14	31	0.61	1.46	1.259087221	0.006668724	0.017609871	up
OS01T0104400-01	2185	2233	64.07	70.78	0.143692771	0.005027445	0.013691043	no
OS01T0104400-02	2306	2170	79.59	81.04	0.026046998	0.745327518	0.880101052	no
OS01T0104400-03	1918	1844	76.28	79.44	0.058560779	0.366571731	0.525578315	no
OS01T0104500-01	0	5	0.001	0.15	7.22881869	0.062531251	0.123993256	no
OS01T0104600-01	258	187	4.62	3.61	-0.355894015	0.011072777	0.027668728	no
OS01T0104600-02	244	181	5.22	4.18	-0.320546864	0.023783322	0.053961882	no
OS01T0104800-01	165	137	2.97	2.66	-0.159036685	0.360024293	0.518416181	no
OS01T0104800-02	56	66	1.49	1.9	0.350687088	0.240519229	0.378851135	no
OS01T0104900-01	296	267	6.76	6.58	-0.038935663	0.739537582	0.874832344	no
OS01T0104900-02	80	48	2.99	1.94	-0.624088832	0.021083669	0.048687842	no
OS01T0105300-01	17	4	0.26	0.07	-1.893084796	0.007226519	0.01892791	down
OS01T0105400-01	318	294	6.24	6.22	-0.004631449	0.968242836	1	no
OS01T0105700-01	0	8	0.001	0.23	7.845490051	0.007823441	0.020244312	up
OS01T0105800-01	30	65	1.73	4.07	1.234256757	0.000137099	0.000503169	up
OS01T0105900-01	1681	1343	43.25	37.32	-0.212751147	0.000104663	0.000391704	no
OS01T0106200-01	744	579	36.13	30.51	-0.243915075	0.001802421	0.005417428	no
OS01T0106300-01	4072	2000	135.87	72.19	-0.912356036	3.51E-102	2.35E-100	no
OS01T0106400-01	1891	2292	66.23	86.87	0.391373179	8.27E-15	7.78E-14	no
OS01T0106500-01	465	308	21.88	15.72	-0.477011521	4.82E-06	2.18E-05	no
OS01T0106600-01	256	158	11.11	7.44	-0.57848429	6.16E-05	0.00023894	no
OS01T0106700-00	75	102	0.35	0.51	0.543142325	0.016386698	0.038943965	no
OS01T0106800-01	561	685	40.29	53.63	0.412618448	3.86E-06	1.77E-05	no
OS01T0106900-01	1022	801	20.67	17.48	-0.241833204	0.000542006	0.001797177	no
OS01T0106900-02	867	656	20.01	16.34	-0.292313184	0.000112374	0.000418942	no
OS01T0107000-01	291	387	6.41	9.2	0.521309504	6.82E-06	3.03E-05	no
OS01T0107000-02	340	434	8.77	12.09	0.463165497	1.95E-05	8.15E-05	no
OS01T0107400-01	8	2	1.12	0.31	-1.853158612	0.109462886	0.199198681	no
OS01T0107700-01	31	32	0.58	0.65	0.164386818	0.801613761	0.928238948	no
OS01T0107750-00	0	1	0.001	0.02	4.321928095	1	1	no
