gene_id	C1	C2	C3	M1	M2	M3
AT1G01060	33.0358	35.5593	34.6492	10.2945	13.3938	13.659
AT1G01320	73.7404	76.3134	69.0405	17.2084	19.6695	17.6303
AT1G01420	6.6679	6.66516	7.94002	2.86371	3.83414	3.4326
AT1G01520	9.58862	8.55635	9.32078	0.982357	2.87684	2.18884
AT1G01970	17.2107	15.1322	18.3508	7.08041	7.74877	7.27222
AT1G02380	0.749953	1.95807	1.44847	0.934699	0.367559	0.703017
AT1G02620	0	0.373949	0.267622	0.957191	1.1798	0.731106
AT1G02710	0.781691	2.07701	2.52539	0.478761	1.33875	1.06115
AT1G02820	1.82602	0.764632	0.938192	0.318195	0.671864	0.619827
AT1G03055	2.12318	1.2677	1.92225	0.220155	0.187085	0.0779103
AT1G03130	245.721	169.387	249.723	48.8518	71.802	44.8682
AT1G03320	1.47936	2.365	1.66682	0.638625	1.32451	0.606143
AT1G03410	0.836566	0.322755	1.10585	1.7617	3.4873	1.69755
AT1G03600	280.079	190.735	257.208	76.2503	98.1803	72.2986
AT1G03630	52.7504	38.4421	57.2213	19.1823	19.8784	19.9061
AT1G03940	4.06471	3.95217	4.66312	1.86841	1.19975	1.56077
AT1G04445	0.277173	0	0.118866	0.792874	1.0284	0.669744
AT1G05835	28.8908	24.2637	24.2039	41.3869	53.9832	44.5359
AT1G06000	31.6605	34.6638	30.2597	9.40202	11.7795	8.00969
AT1G06002	76.6737	86.8687	70.0662	25.8112	16.8519	19.929
AT1G06040	228.793	249.4	235.593	59.0291	63.5702	57.9831
AT1G06180	6.3145	6.88103	6.10861	1.9799	1.48301	2.06158
AT1G06430	31.1408	28.7109	28.7373	7.14185	9.83179	8.47864
AT1G06680	609.407	420.074	637.388	197.999	292.416	211.748
AT1G06690	22.9508	19.1184	24.069	5.25026	7.71809	4.23402
AT1G07010	13.9524	13.0452	14.3781	3.45512	4.8414	3.30271
AT1G07050	3.10089	2.08954	2.68277	1.11141	1.43117	0.695536
AT1G07150	16.69	14.2253	18.6999	3.45196	4.22218	3.16877
AT1G07180	1.33514	0.815156	1.56197	0.0357149	0.0885123	0.135266
AT1G07390	1.03581	1.36695	1.22903	0.323169	0.302142	0.68175
AT1G07400	1.73164	1.25223	2.21675	0.610784	0.809194	1.0213
AT1G07700	15.2369	12.7765	15.5763	6.15246	6.31511	8.15342
AT1G08380	581.385	338.726	573.848	123.373	253.997	123.383
AT1G08540	26.2254	24.3793	30.1362	11.905	13.74	14.2181
AT1G08630	2.95819	3.03527	2.60846	0.324934	0.113725	0.176261
AT1G09240	1.21302	2.25847	1.50042	0.106286	0.356141	0.281611
AT1G09340	141.805	93.0949	156.732	31.837	39.0945	33.3034
AT1G09350	6.97723	15.6281	6.97444	2.73196	2.01272	3.02904
AT1G09570	156.714	163.432	161.272	12.5975	13.701	14.9462
AT1G09910	1.40809	1.66452	1.2386	3.35513	2.98796	3.29966
AT1G10070	13.4625	9.06462	12.5439	24.4718	26.7828	24.3232
AT1G10220	0.822427	0.461192	0.294755	2.10328	1.4003	0.949773
AT1G10360	23.4531	10.5637	21.6011	9.74781	14.6505	7.04365
